bin_count,bin_freq,bin_range,x_value,bin_number
2,0.012658227848101266,"(-1.61, -1.402]",-1.61,1
1,0.006329113924050633,"(-1.402, -1.195]",-1.402,2
3,0.0189873417721519,"(-1.195, -0.988]",-1.195,3
3,0.0189873417721519,"(-0.988, -0.78]",-0.988,4
7,0.04430379746835443,"(-0.78, -0.573]",-0.78,5
7,0.04430379746835443,"(-0.573, -0.366]",-0.573,6
24,0.1518987341772152,"(-0.366, -0.158]",-0.366,7
43,0.2721518987341772,"(-0.158, 0.0491]",-0.158,8
26,0.16455696202531644,"(0.0491, 0.256]",0.0491,9
17,0.10759493670886076,"(0.256, 0.464]",0.256,10
10,0.06329113924050633,"(0.464, 0.671]",0.464,11
9,0.056962025316455694,"(0.671, 0.878]",0.671,12
1,0.006329113924050633,"(0.878, 1.086]",0.878,13
2,0.012658227848101266,"(1.086, 1.293]",1.086,14
1,0.006329113924050633,"(1.293, 1.5]",1.293,15
0,0.0,"(1.5, 1.708]",1.5,16
0,0.0,"(1.708, 1.915]",1.708,17
1,0.006329113924050633,"(1.915, 2.122]",1.915,18
0,0.0,"(2.122, 2.33]",2.122,19
1,0.006329113924050633,"(2.33, 2.537]",2.33,20
