bin_count,bin_freq,bin_range,bin_number
4,0.14814814814814814,"(-0.0367, 0.0654]",13
4,0.14814814814814814,"(-0.343, -0.241]",10
3,0.1111111111111111,"(0.576, 0.678]",19
3,0.1111111111111111,"(0.167, 0.269]",15
2,0.07407407407407407,"(0.269, 0.371]",18
2,0.07407407407407407,"(0.0654, 0.167]",16
2,0.07407407407407407,"(0.474, 0.576]",14
2,0.07407407407407407,"(-0.649, -0.547]",7
1,0.037037037037037035,"(0.371, 0.474]",1
1,0.037037037037037035,"(-1.261, -1.159]",8
1,0.037037037037037035,"(-0.241, -0.139]",0
1,0.037037037037037035,"(-0.547, -0.445]",11
1,0.037037037037037035,"(-0.955, -0.853]",17
0,0.0,"(-1.159, -1.057]",12
0,0.0,"(-1.057, -0.955]",6
0,0.0,"(-0.445, -0.343]",5
0,0.0,"(-0.853, -0.751]",4
0,0.0,"(-0.751, -0.649]",3
0,0.0,"(-0.139, -0.0367]",2
0,0.0,"(-1.363, -1.261]",9
