formula,component1,component2,actual,predicted,elements,residual
DyIn3S6,93,100,2.43,1.615021285,Dy In S,0.814978715
K4Ba2Nb4S22,5,12,0.29,0.957665397,K Ba Nb S,-0.667665397
K2Ho4Cu4S9,77,42,1.926666667,1.78392936,K Ho Cu S,0.142737307
Pb0.9Mn0.1Te,46,51,0.278833333,0.254484975,Pb Mn Te,0.024348358
RbInSnS4,84,30,2.96,3.57878207,Rb In Sn S,-0.61878207
PbGa2GeSe6,59,1,1.31,1.087782872,Pb Ga Ge Se,0.222217128
EuYb2S4,76,92,4.1,4.0814794,Eu Yb S,0.0185206
Hg0.01Cd0.99Se,61,45,3.67,5.616579075,Hg Cd Se,-1.946579075
VO2,5,34,3.26,2.886051502,V O,0.373948498
InSb0.2As0.8,18,68,2.48,2.085664494,In Sb As,0.394335506
EuIn2S4,18,39,1,1.355621908,Eu In S,-0.355621908
CdIn30Te46,91,22,2.16,1.869877649,Cd In Te,0.290122351
Cu3VS4,48,51,1.81,1.198602672,Cu V S,0.611397328
NaGe3P3,57,65,2.64,2.495712255,Na Ge P,0.144287745
CsDy9Cd4Se18,50,16,2.3,1.974589013,Cs Dy Cd Se,0.325410987
Hg0.77Cd0.23Te,100,18,1.725,1.869572861,Hg Cd Te,-0.144572861
In4S5,22,45,1.18,0.9668109,In S,0.2131891
BaGa2Se4,63,29,3.4,2.978371702,Ba Ga Se,0.421628298
Ce2Sn3Se9,91,97,4.22,4.041873144,Ce Sn Se,0.178126856
Ag2O,37,56,0.123333333,0.12148003,Ag O,0.001853303
CuIn5S8,46,40,0.7,0.840249935,Cu In S,-0.140249935
BaGa4S7,7,33,1.83,1.673360331,Ba Ga S,0.156639669
CsCd4In5Se12,38,1,0.43,0.352246184,Cs Cd In Se,0.077753816
Cd4GdB3O10,15,4,1.08,0.853661206,Cd Gd B O,0.226338794
Ca2Si,15,42,2.2,1.983242966,Ca Si,0.216757034
Cs2ZnGe3Se8,54,85,1.9,1.756622402,Cs Zn Ge Se,0.143377598
Rb1.45Pb3.1Sb7.45Se15,16,49,3.7,3.932230091,Rb Pb Sb Se,-0.232230091
AgIn9Te14,4,23,1.95,2.116740627,Ag In Te,-0.166740627
Rb3CdB5O10,61,71,2,1.584567136,Rb Cd B O,0.415432864
ReSe2,10,8,0.74,0.836640164,Re Se,-0.096640164
PbSe0.01S0.99,67,42,3.7,3.751366439,Pb Se S,-0.051366439
CsLu7Se11,19,10,2.76,2.108814894,Cs Lu Se,0.651185106
SmB6,68,37,0.846666667,1.321382771,Sm B,-0.474716104
PdO,88,87,2.76,2.863131274,Pd O,-0.103131274
AgInS2,65,97,2.46,2.551961121,Ag In S,-0.091961121
Na2TeSe3,17,84,1,0.949574795,Na Te Se,0.050425205
PbTe,22,26,3.25,2.755087235,Pb Te,0.494912765
RbMoPO6,68,16,1.95,1.983364134,Rb Mo P O,-0.033364134
CaTe,53,94,0.36,0.290409041,Ca Te,0.069590959
K3Ta2AsSe11,42,94,2.44,2.098332424,K Ta As Se,0.341667576
CaB6,80,17,5.69,3.544429492,Ca B,2.145570508
CoP3,52,49,2.2,2.031270054,Co P,0.168729946
AgInTe2,49,66,1.5,1.557508351,Ag In Te,-0.057508351
Cs2Cd3B16O28,54,48,1.18,1.001966894,Cs Cd B O,0.178033106
